# Experimental Run Tue Nov 13 21:18:45 CET 2018
Best Score,Run Time Milliseconds,Total Evaluations
"67667.0","359","65164"
"71778.0","266","48416"
"64505.0","453","82515"
"71057.0","203","38867"
"65029.0","563","101090"
"70760.0","281","52792"
"67556.0","265","49085"
"71129.0","282","50948"
"67619.0","328","59590"
"71461.0","297","55241"
"73362.0","203","36318"
"69683.0","328","60292"
"70532.0","312","56658"
"73261.0","235","43993"
"76519.0","172","29465"
"68424.0","281","52381"
"72810.0","219","39129"
"74445.0","171","31730"
"68391.0","266","50354"
"69180.0","313","55601"
"69875.0","218","41416"
"68713.0","297","54935"
"68468.0","406","73807"
"73622.0","282","51119"
"69935.0","296","52968"
"72677.0","266","48315"
"70147.0","344","63352"
"67775.0","297","54684"
"68290.0","375","65902"
"71285.0","312","57739"
"73261.0","203","38397"
"65833.0","360","64895"
"69394.0","328","61063"
"63012.0","531","99556"
"69126.0","281","49577"
"63413.0","531","95733"
"73381.0","282","53147"
"69225.0","328","60289"
"70989.0","297","56974"
"69504.0","265","48304"
"69197.0","344","62072"
"64749.0","453","84280"
"68665.0","375","68507"
"68573.0","453","83643"
"71059.0","344","63882"
"72207.0","187","33526"
"67771.0","407","75331"
"67612.0","375","68736"
"64285.0","515","93443"
"74592.0","203","37592"
"65646.0","500","94204"
"70179.0","250","43470"
"67443.0","266","51113"
"72705.0","188","33769"
"66015.0","359","64890"
"68007.0","500","93710"
"69889.0","281","50961"
"65619.0","438","78904"
"65088.0","390","72528"
"74625.0","172","30722"
"71894.0","234","41934"
"67301.0","438","82474"
"66557.0","281","54421"
"71052.0","265","47031"
"66655.0","391","72024"
"76975.0","172","32953"
"70807.0","344","62842"
"65749.0","375","66934"
"65115.0","421","80178"
"70234.0","282","49839"
"72641.0","234","43996"
"70500.0","250","46009"
"70194.0","234","43482"
"71398.0","422","63456"
"71647.0","250","47283"
"66901.0","391","72273"
"68965.0","297","52702"
"62981.0","578","107235"
"69643.0","312","54952"
"68363.0","219","40910"
"68334.0","422","77376"
"68136.0","406","75351"
"69136.0","344","61201"
"72663.0","250","47285"
"66927.0","516","94263"
"70626.0","343","64182"
"69147.0","360","66408"
"74593.0","187","33269"
"68080.0","391","72849"
"70615.0","281","51887"
"66316.0","422","76354"
"65802.0","453","84768"
"69331.0","328","58256"
"72017.0","266","50087"
"71405.0","234","42953"
"71440.0","234","43921"
"68347.0","375","67368"
"70002.0","188","37600"
"66009.0","437","81709"
"71591.0","266","47800"
"64129.0","578","106441"
"72365.0","250","47327"
"68427.0","390","70760"
"68863.0","485","89908"
"65118.0","390","69993"
"70657.0","297","53150"
"69004.0","406","73295"
"72868.0","188","36410"
"67655.0","390","69467"
"69307.0","391","73328"
"72328.0","234","43457"
"67548.0","375","69057"
"67778.0","344","62339"
"71351.0","219","39408"
"71485.0","281","50600"
"68297.0","375","69475"
"70062.0","360","64945"
"73173.0","203","36161"
"67795.0","422","79156"
"69992.0","249","43558"
"71316.0","250","47859"
"74490.0","157","27901"
"69174.0","375","69725"
"70171.0","390","70746"
"72116.0","203","38882"
"70240.0","250","46042"
"68217.0","360","63857"
"70769.0","328","62349"
"67168.0","328","60691"
"70352.0","266","46535"
"69419.0","328","60033"
"67749.0","297","54424"
"70024.0","234","42706"
"67273.0","281","51874"
"69692.0","266","48557"
"70311.0","328","60841"
"70838.0","203","36080"
"70279.0","188","34810"
"66529.0","375","67681"
"67852.0","359","65644"
"72108.0","266","48319"
"64951.0","406","74598"
"69089.0","312","56390"
"69944.0","235","43966"
"68032.0","359","63093"
"74882.0","172","34021"
"73272.0","172","32237"
"70652.0","328","57736"
"69051.0","328","60037"
"69572.0","234","44225"
"66996.0","547","98035"
"68167.0","344","65133"
"74484.0","156","27656"
"73479.0","250","46287"
"70186.0","313","57991"
"67178.0","453","82737"
"64296.0","375","68958"
"71946.0","234","42551"
"69579.0","297","52638"
"72861.0","156","30706"
"70953.0","172","33515"
"65808.0","422","75849"
"65822.0","343","63603"
