# Experimental Run Sat Nov 17 15:41:16 CET 2018;
Best Score,Run Time Milliseconds,Total Evaluations;
8358.0,47,28577;
6988.0,47,40271;
7348.0,15,19745;
7275.0,32,25146;
8768.0,31,21819;
7119.0,31,32567;
7106.0,31,26627;
7127.0,47,27602;
7134.0,16,21859;
7180.0,47,28855;
7185.0,47,44519;
7471.0,31,22187;
7127.0,31,25904;
7305.0,31,25975;
7145.0,32,28353;
7265.0,31,26244;
7059.0,31,22712;
7034.0,47,36923;
7309.0,31,29180;
7108.0,32,26494;
7375.0,62,51395;
6975.0,31,22404;
7241.0,32,27170;
7450.0,31,22320;
7341.0,31,31007;
6901.0,47,35823;
7008.0,16,20896;
7180.0,46,31923;
7234.0,16,19620;
7126.0,31,21596;
6993.0,32,25712;
7004.0,31,29281;
7162.0,47,33963;
7247.0,31,22820;
7173.0,47,38169;
7398.0,31,28278;
7341.0,31,23357;
7087.0,47,36918;
7247.0,16,20927;
7410.0,31,21810;
7265.0,31,21884;
7661.0,32,22098;
7281.0,31,35331;
6993.0,47,28692;
7024.0,31,26473;
7174.0,15,23371;
7333.0,47,29283;
7127.0,32,26155;
6979.0,31,32781;
7251.0,31,20049;
7127.0,31,27741;
7419.0,32,23897;
7201.0,31,21045;
7345.0,31,26125;
7140.0,31,28264;
7391.0,32,23094;
7435.0,15,22884;
7365.0,31,27311;
7378.0,31,26819;
7016.0,32,25945;
8280.0,31,34355;
7028.0,31,24847;
7365.0,47,30412;
7134.0,31,28507;
7247.0,31,24334;
7211.0,32,21871;
7136.0,31,32591;
7361.0,31,22047;
7000.0,31,26659;
7334.0,47,31667;
7036.0,32,30227;
7036.0,46,29208;
7200.0,32,27667;
7285.0,31,23379;
7070.0,47,25096;
7345.0,78,36423;
8505.0,31,25104;
7099.0,31,24260;
7051.0,47,30053;
7041.0,32,24334;
7331.0,31,29510;
7177.0,31,21208;
7528.0,31,25983;
7484.0,32,23840;
7127.0,46,43066;
7415.0,32,23334;
7348.0,31,24789;
8015.0,31,19532;
7331.0,31,29531;
7560.0,32,25916;
7004.0,47,28438;
7205.0,15,21584;
6993.0,63,40698;
7671.0,47,27658;
7036.0,46,34906;
7170.0,47,32881;
7438.0,32,24798;
7086.0,15,21084;
7000.0,31,24286;
7412.0,47,36578;
7285.0,32,27161;
7089.0,31,23823;
7008.0,47,39956;
7008.0,31,28804;
7271.0,47,30266;
